0.00000  	0.00000
1.00000  	1.00000
2.00000  	4.00000
3.00000  	9.00000
4.00000  	16.00000
5.00000  	25.00000
6.00000  	36.00000
7.00000  	49.00000
8.00000  	64.00000
9.00000  	81.00000
10.00000  	100.00000
11.00000  	121.00000
12.00000  	144.00000
13.00000  	169.00000
14.00000  	196.00000
15.00000  	225.00000
16.00000  	256.00000
17.00000  	289.00000
18.00000  	324.00000
19.00000  	361.00000
20.00000  	400.00000
21.00000  	441.00000
22.00000  	484.00000
23.00000  	529.00000
24.00000  	576.00000
25.00000  	625.00000
26.00000  	676.00000
27.00000  	729.00000
28.00000  	784.00000
